transactions_id,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
1184,08:28:00,23,Male,31,Electronics,4,50,27.5,200
1734,08:58:00,72,Female,27,Clothing,1,30,14.4,30
225,07:37:00,85,Female,57,Beauty,4,25,12.75,100
679,08:59:00,64,Female,18,Beauty,,,,
746,11:33:00,42,Female,33,Clothing,,,,
1225,09:51:00,137,Female,57,Beauty,,,,
1679,08:08:00,71,Female,18,Beauty,3,30,15.3,90
1746,07:59:00,88,Female,33,Clothing,3,30,10.8,90
3,07:08:00,114,Male,50,Electronics,1,30,8.1,30
464,11:13:00,24,Male,38,Electronics,2,300,75,600
484,07:52:00,135,Female,19,Clothing,4,300,75,1200
591,08:38:00,94,Male,53,Electronics,4,25,6.5,100
1003,07:59:00,80,Male,50,Electronics,1,30,15.9,30
1464,10:06:00,80,Male,38,Electronics,2,300,126,600
1484,09:29:00,22,Female,19,Clothing,4,300,147,1200
1591,11:00:00,62,Male,53,Electronics,4,25,7,100
21,07:33:00,59,Female,50,Beauty,1,500,275,500
708,08:38:00,62,Female,43,Beauty,3,300,87,900
713,11:43:00,39,Male,34,Beauty,3,25,11.25,75
768,06:50:00,58,Female,24,Beauty,3,25,10.5,75
1021,10:19:00,44,Female,50,Beauty,1,500,155,500
1708,07:47:00,41,Female,43,Beauty,3,300,162,900
1713,10:10:00,90,Male,34,Beauty,3,25,10.75,75
1768,09:52:00,85,Female,24,Beauty,3,25,8.75,75
499,10:52:00,15,Male,46,Beauty,2,30,16.5,60
697,07:52:00,152,Male,53,Clothing,1,500,200,500
831,11:49:00,149,Male,27,Electronics,4,25,13.75,100
1499,09:46:00,3,Male,46,Beauty,2,30,11.7,60
1697,08:22:00,54,Male,53,Clothing,1,500,265,500
1831,10:54:00,80,Male,27,Electronics,4,25,6.5,100
15,11:50:00,75,Female,42,Electronics,4,500,210,2000
743,07:54:00,55,Female,34,Beauty,4,500,260,2000
1015,11:53:00,94,Female,42,Electronics,4,500,200,2000
1743,09:37:00,47,Female,34,Beauty,4,500,250,2000
14,07:11:00,8,Male,64,Clothing,4,30,13.2,120
103,10:05:00,33,Female,59,Clothing,1,25,10.75,25
238,11:52:00,20,Female,39,Beauty,1,500,150,500
986,09:35:00,65,Female,49,Clothing,2,500,200,1000
1014,10:26:00,147,Male,64,Clothing,4,30,11.4,120
1103,07:11:00,61,Female,59,Clothing,1,25,6.75,25
1238,07:38:00,129,Female,39,Beauty,1,500,165,500
1986,08:28:00,29,Female,49,Clothing,2,500,145,1000
438,10:15:00,88,Female,42,Clothing,1,30,15.9,30
1438,10:00:00,72,Female,42,Clothing,1,30,13.8,30
475,10:39:00,78,Male,26,Clothing,3,25,9,75
505,07:25:00,86,Male,24,Beauty,1,50,19.5,50
1475,07:03:00,132,Male,26,Clothing,3,25,10.75,75
1505,08:00:00,98,Male,24,Beauty,1,50,14.5,50
344,09:47:00,69,Female,42,Beauty,1,30,7.5,30
448,09:36:00,86,Female,54,Beauty,2,30,16.2,60
742,06:08:00,37,Female,38,Electronics,4,500,195,2000
1344,06:12:00,144,Female,42,Beauty,1,30,11.1,30
1448,06:28:00,51,Female,54,Beauty,2,30,9.3,60
1742,08:25:00,18,Female,38,Electronics,4,500,220,2000
445,10:48:00,132,Female,53,Electronics,1,300,138,300
787,10:42:00,25,Male,41,Electronics,1,25,13.75,25
1445,06:16:00,31,Female,53,Electronics,1,300,129,300
1787,07:42:00,104,Male,41,Electronics,1,25,10,25
49,10:33:00,37,Female,54,Electronics,2,500,255,1000
420,10:53:00,28,Female,22,Clothing,4,500,200,2000
519,10:17:00,52,Female,36,Electronics,4,30,16.5,120
1049,06:36:00,143,Female,54,Electronics,2,500,125,1000
1420,07:01:00,138,Female,22,Clothing,4,500,205,2000
1519,07:35:00,139,Female,36,Electronics,4,30,9.3,120
64,06:34:00,7,Male,49,Clothing,4,25,8.5,100
592,09:15:00,77,Female,46,Beauty,4,500,275,2000
912,06:18:00,122,Male,51,Beauty,3,50,20.5,150
1064,10:38:00,49,Male,49,Clothing,4,25,13.75,100
1592,09:08:00,81,Female,46,Beauty,4,500,155,2000
1912,07:40:00,146,Male,51,Beauty,3,50,22,150
134,09:03:00,132,Male,49,Electronics,1,50,16,50
1134,09:04:00,106,Male,49,Electronics,1,50,24,50
288,09:59:00,27,Male,28,Clothing,4,30,12,120
323,08:22:00,97,Female,29,Beauty,3,300,150,900
618,10:22:00,5,Female,27,Beauty,1,50,26,50
720,08:50:00,116,Female,56,Beauty,3,500,235,1500
1288,11:56:00,26,Male,28,Clothing,4,30,9,120
1323,10:49:00,136,Female,29,Beauty,3,300,114,900
1618,06:27:00,118,Female,27,Beauty,1,50,13.5,50
1720,08:51:00,28,Female,56,Beauty,3,500,190,1500
415,09:59:00,85,Male,53,Clothing,2,30,8.1,60
736,08:30:00,97,Male,29,Clothing,4,25,9.75,100
929,10:18:00,40,Female,23,Beauty,3,25,10.5,75
1415,07:11:00,146,Male,53,Clothing,2,30,15.3,60
1736,08:57:00,87,Male,29,Clothing,4,25,10.25,100
1929,06:50:00,62,Female,23,Beauty,3,25,12.75,75
264,11:03:00,111,Male,47,Clothing,3,300,150,900
913,10:52:00,78,Male,29,Electronics,3,30,16.5,90
940,08:11:00,46,Female,20,Electronics,1,30,9.6,30
1264,09:23:00,82,Male,47,Clothing,3,300,123,900
1913,07:10:00,101,Male,29,Electronics,3,30,14.1,90
1940,09:47:00,56,Female,20,Electronics,1,30,11.1,30
101,08:46:00,24,Male,32,Clothing,2,300,135,600
1101,07:47:00,15,Male,32,Clothing,2,300,132,600
189,09:44:00,143,Male,63,Beauty,1,50,14.5,50
317,07:54:00,117,Male,22,Electronics,3,30,12,90
322,06:11:00,13,Male,51,Electronics,1,500,125,500
329,07:42:00,52,Female,46,Electronics,4,25,8,100
1189,06:08:00,104,Male,63,Beauty,1,50,20.5,50
1317,08:02:00,144,Male,22,Electronics,3,30,12,90
1322,09:56:00,10,Male,51,Electronics,1,500,250,500
1329,10:39:00,119,Female,46,Electronics,4,25,9.25,100
235,10:13:00,132,Female,23,Electronics,2,500,275,1000
300,09:41:00,138,Female,19,Electronics,4,50,26.5,200
964,08:18:00,15,Male,24,Clothing,3,300,156,900
1235,06:44:00,87,Female,23,Electronics,2,500,220,1000
1300,08:57:00,7,Female,19,Electronics,4,50,24,200
1964,08:27:00,115,Male,24,Clothing,3,300,111,900
269,11:31:00,87,Male,25,Clothing,4,500,250,2000
320,08:35:00,57,Female,28,Electronics,4,300,159,1200
673,10:14:00,18,Female,43,Clothing,3,500,270,1500
1269,08:09:00,71,Male,25,Clothing,4,500,145,2000
1320,11:55:00,102,Female,28,Electronics,4,300,84,1200
1673,07:36:00,42,Female,43,Clothing,3,500,185,1500
142,10:05:00,61,Male,35,Electronics,4,300,138,1200
223,11:18:00,61,Female,64,Clothing,1,25,12,25
666,10:59:00,49,Male,51,Electronics,3,50,16,150
1142,09:49:00,2,Male,35,Electronics,4,300,114,1200
1223,07:40:00,106,Female,64,Clothing,1,25,9.75,25
1666,10:10:00,125,Male,51,Electronics,3,50,21,150
107,09:18:00,75,Female,21,Clothing,4,300,78,1200
933,07:53:00,81,Male,22,Beauty,1,30,12.9,30
1107,11:14:00,62,Female,21,Clothing,4,300,102,1200
1933,11:04:00,121,Male,22,Beauty,1,30,14.4,30
237,08:54:00,105,Female,50,Beauty,2,500,165,1000
335,09:23:00,2,Female,47,Beauty,4,30,10.8,120
1237,09:20:00,48,Female,50,Beauty,2,500,215,1000
1335,08:45:00,117,Female,47,Beauty,4,30,8.7,120
63,11:49:00,127,Male,57,Electronics,2,25,6.25,50
195,11:51:00,10,Male,52,Clothing,1,30,9.3,30
333,08:15:00,21,Female,54,Electronics,4,300,99,1200
379,07:28:00,76,Female,47,Clothing,1,25,8.5,25
490,06:07:00,43,Male,34,Clothing,3,50,18.5,150
530,07:52:00,8,Female,18,Electronics,4,30,9,120
740,06:58:00,33,Female,25,Beauty,4,50,13,200
793,10:53:00,1,Male,54,Beauty,1,30,14.7,30
1063,10:26:00,56,Male,57,Electronics,2,25,11,50
1195,07:07:00,55,Male,52,Clothing,1,30,12,30
1333,11:38:00,151,Female,54,Electronics,4,300,165,1200
1379,06:23:00,69,Female,47,Clothing,1,25,7.25,25
1490,07:15:00,155,Male,34,Clothing,3,50,17,150
1530,08:17:00,93,Female,18,Electronics,4,30,12.3,120
1740,06:01:00,66,Female,25,Beauty,4,50,27,200
1793,06:05:00,88,Male,54,Beauty,1,30,10.8,30
85,08:05:00,68,Male,31,Clothing,3,50,19,150
232,07:14:00,150,Female,43,Beauty,1,25,12.75,25
240,11:49:00,95,Female,23,Beauty,1,300,123,300
993,09:21:00,134,Female,48,Electronics,3,50,17,150
1085,09:29:00,76,Male,31,Clothing,3,50,17,150
1232,08:05:00,146,Female,43,Beauty,1,25,6.25,25
1240,07:42:00,144,Female,23,Beauty,1,300,90,300
1993,11:53:00,123,Female,48,Electronics,3,50,26.5,150
366,09:32:00,116,Male,57,Clothing,2,50,17.5,100
372,11:45:00,27,Female,24,Beauty,3,500,140,1500
596,08:44:00,87,Female,64,Electronics,1,300,93,300
936,10:51:00,143,Male,57,Beauty,4,50,19.5,200
1366,11:34:00,25,Male,57,Clothing,2,50,23.5,100
1372,10:53:00,60,Female,24,Beauty,3,500,145,1500
1596,06:22:00,7,Female,64,Electronics,1,300,141,300
1936,11:32:00,60,Male,57,Beauty,4,50,12.5,200
284,09:17:00,129,Male,43,Clothing,4,50,20.5,200
434,06:09:00,50,Female,43,Electronics,2,25,8.25,50
775,11:07:00,98,Female,46,Electronics,4,25,9.5,100
977,08:35:00,46,Female,35,Electronics,3,25,13.75,75
1284,11:43:00,145,Male,43,Clothing,4,50,18,200
1434,10:02:00,147,Female,43,Electronics,2,25,7,50
1775,08:04:00,78,Female,46,Electronics,4,25,13.75,100
1977,10:46:00,63,Female,35,Electronics,3,25,12,75
649,08:17:00,44,Female,58,Clothing,2,300,135,600
1649,07:44:00,72,Female,58,Clothing,2,300,75,600
54,10:17:00,142,Female,38,Electronics,3,500,200,1500
68,09:06:00,146,Male,25,Electronics,1,300,84,300
192,08:05:00,134,Male,62,Beauty,2,50,13,100
1054,09:24:00,49,Female,38,Electronics,3,500,140,1500
1068,10:11:00,136,Male,25,Electronics,1,300,111,300
1192,08:41:00,37,Male,62,Beauty,2,50,20.5,100
331,08:33:00,28,Male,28,Electronics,3,30,10.2,90
346,06:54:00,38,Male,59,Clothing,2,500,215,1000
657,08:53:00,46,Male,40,Clothing,1,25,8,25
732,08:45:00,136,Male,61,Electronics,2,500,250,1000
972,11:42:00,139,Male,49,Beauty,4,25,6.75,100
1331,09:29:00,36,Male,28,Electronics,3,30,13.8,90
1346,10:01:00,112,Male,59,Clothing,2,500,130,1000
1657,10:05:00,61,Male,40,Clothing,1,25,8,25
1732,07:05:00,55,Male,61,Electronics,2,500,215,1000
1972,06:39:00,5,Male,49,Beauty,4,25,9.25,100
714,08:50:00,20,Female,18,Clothing,1,500,190,500
1714,06:07:00,111,Female,18,Clothing,1,500,245,500
193,10:40:00,55,Male,35,Beauty,3,500,180,1500
577,11:55:00,45,Male,21,Beauty,4,500,215,2000
848,10:46:00,15,Female,63,Clothing,3,25,9.75,75
945,10:01:00,120,Male,30,Beauty,1,25,13.25,25
1193,11:31:00,50,Male,35,Beauty,3,500,145,1500
1577,06:22:00,145,Male,21,Beauty,4,500,160,2000
1848,10:16:00,63,Female,63,Clothing,3,25,12.5,75
1945,09:55:00,33,Male,30,Beauty,1,25,10.75,25
11,10:30:00,151,Male,23,Clothing,2,50,23.5,100
821,11:27:00,40,Male,49,Electronics,1,300,129,300
1011,06:48:00,15,Male,23,Clothing,2,50,19,100
1821,07:17:00,42,Male,49,Electronics,1,300,108,300
133,09:01:00,70,Male,20,Electronics,3,300,87,900
1133,06:42:00,58,Male,20,Electronics,3,300,159,900
16,10:33:00,82,Male,19,Clothing,3,500,180,1500
42,08:29:00,63,Male,22,Clothing,3,300,147,900
292,06:33:00,111,Male,20,Beauty,4,300,141,1200
416,09:29:00,55,Male,53,Electronics,4,500,245,2000
584,10:21:00,106,Female,27,Beauty,4,50,16.5,200
861,08:57:00,22,Female,41,Clothing,3,30,9.6,90
1016,07:39:00,52,Male,19,Clothing,3,500,200,1500
1042,06:21:00,7,Male,22,Clothing,3,300,150,900
1292,08:20:00,88,Male,20,Beauty,4,300,90,1200
1416,10:47:00,111,Male,53,Electronics,4,500,125,2000
1584,11:07:00,62,Female,27,Beauty,4,50,16.5,200
1861,10:41:00,145,Female,41,Clothing,3,30,10.2,90
256,08:05:00,3,Male,23,Clothing,2,500,270,1000
1256,09:58:00,29,Male,23,Clothing,2,500,190,1000
44,11:07:00,93,Female,22,Clothing,1,25,11.75,25
257,08:49:00,130,Male,19,Beauty,4,500,165,2000
1044,09:08:00,70,Female,22,Clothing,1,25,7.5,25
1257,11:55:00,29,Male,19,Beauty,4,500,255,2000
268,08:26:00,93,Female,28,Electronics,1,30,8.7,30
287,11:07:00,88,Male,54,Clothing,4,25,10,100
966,07:22:00,119,Male,60,Electronics,2,500,190,1000
1268,09:33:00,15,Female,28,Electronics,1,30,14.1,30
1287,08:03:00,120,Male,54,Clothing,4,25,7,100
1966,09:52:00,74,Male,60,Electronics,2,500,200,1000
70,10:48:00,147,Female,43,Clothing,1,300,84,300
371,10:01:00,32,Female,20,Beauty,1,25,13,25
900,08:41:00,130,Male,21,Clothing,2,30,15.6,60
1070,11:12:00,102,Female,43,Clothing,1,300,120,300
1371,06:52:00,41,Female,20,Beauty,1,25,13.5,25
1900,06:43:00,65,Male,21,Clothing,2,30,10.8,60
8,11:19:00,148,Male,30,Electronics,4,25,11,100
41,10:36:00,88,Male,34,Clothing,2,25,13.25,50
454,07:20:00,13,Female,46,Beauty,1,25,13,25
780,11:30:00,107,Male,52,Electronics,2,25,13.25,50
920,10:25:00,99,Female,28,Beauty,3,25,6.75,75
1008,08:51:00,116,Male,30,Electronics,4,25,13,100
1041,07:27:00,74,Male,34,Clothing,2,25,11,50
1454,11:18:00,22,Female,46,Beauty,1,25,6.75,25
1780,10:00:00,32,Male,52,Electronics,2,25,10.5,50
1920,08:33:00,23,Female,28,Beauty,3,25,9.25,75
396,07:11:00,29,Female,55,Beauty,1,30,10.8,30
1396,06:23:00,9,Female,55,Beauty,1,30,8.4,30
168,09:20:00,138,Male,53,Clothing,1,300,102,300
400,09:52:00,2,Male,53,Clothing,4,50,24,200
611,08:13:00,11,Male,51,Beauty,3,500,180,1500
800,07:33:00,111,Male,32,Clothing,4,300,87,1200
1168,07:56:00,68,Male,53,Clothing,1,300,150,300
1400,11:54:00,115,Male,53,Clothing,4,50,20,200
1611,07:30:00,125,Male,51,Beauty,3,500,180,1500
1800,10:53:00,1,Male,32,Clothing,4,300,111,1200
272,11:57:00,112,Female,61,Electronics,2,50,27.5,100
473,10:09:00,1,Male,64,Beauty,1,50,14.5,50
506,07:13:00,9,Male,34,Beauty,3,500,200,1500
766,08:02:00,128,Male,38,Electronics,3,300,165,900
1272,11:59:00,66,Female,61,Electronics,2,50,17,100
1473,09:06:00,30,Male,64,Beauty,1,50,13,50
1506,07:31:00,52,Male,34,Beauty,3,500,245,1500
1766,06:08:00,6,Male,38,Electronics,3,300,129,900
135,07:22:00,104,Male,20,Clothing,2,25,13,50
1135,08:16:00,124,Male,20,Clothing,2,25,12.5,50
2,10:07:00,104,Female,26,Clothing,2,500,135,1000
158,11:38:00,141,Female,44,Electronics,2,300,132,600
185,09:48:00,57,Male,24,Clothing,1,25,7,25
433,08:48:00,144,Male,29,Beauty,4,50,20,200
1002,09:24:00,69,Female,26,Clothing,2,500,270,1000
1158,09:29:00,77,Female,44,Electronics,2,300,138,600
1185,10:28:00,153,Male,24,Clothing,1,25,10.25,25
1433,11:41:00,113,Male,29,Beauty,4,50,15.5,200
152,11:58:00,120,Male,43,Electronics,4,500,210,2000
753,10:07:00,70,Female,32,Clothing,1,30,15.9,30
763,09:43:00,58,Male,34,Clothing,2,25,11.5,50
932,08:33:00,120,Female,45,Beauty,4,25,7.75,100
1152,07:48:00,87,Male,43,Electronics,4,500,170,2000
1753,07:40:00,28,Female,32,Clothing,1,30,10.5,30
1763,11:37:00,93,Male,34,Clothing,2,25,13.5,50
1932,07:07:00,96,Female,45,Beauty,4,25,6.25,100
399,09:25:00,136,Female,64,Beauty,2,30,12.9,60
500,06:11:00,120,Female,60,Beauty,4,25,11.5,100
514,08:35:00,139,Female,18,Electronics,1,300,96,300
1399,09:32:00,15,Female,64,Beauty,2,30,16.2,60
1500,08:36:00,53,Female,60,Beauty,4,25,8.5,100
1514,10:55:00,59,Female,18,Electronics,1,300,75,300
947,07:09:00,4,Male,50,Beauty,1,300,129,300
1947,06:27:00,134,Male,50,Beauty,1,300,75,300
220,06:44:00,138,Male,64,Beauty,1,500,140,500
339,10:27:00,33,Female,22,Electronics,2,25,10.25,50
785,06:09:00,88,Female,31,Beauty,4,50,13,200
885,10:10:00,121,Female,52,Clothing,4,30,14.4,120
888,06:03:00,63,Female,52,Electronics,4,25,12.75,100
1220,11:16:00,47,Male,64,Beauty,1,500,240,500
1339,10:34:00,132,Female,22,Electronics,2,25,7.5,50
1785,11:17:00,144,Female,31,Beauty,4,50,17,200
1885,07:32:00,148,Female,52,Clothing,4,30,10.8,120
1888,08:10:00,49,Female,52,Electronics,4,25,12.5,100
621,09:55:00,138,Female,40,Beauty,2,500,275,1000
1621,10:49:00,2,Female,40,Beauty,2,500,160,1000
52,09:42:00,55,Female,36,Beauty,1,300,111,300
536,06:25:00,17,Female,55,Beauty,4,30,8.7,120
1052,06:12:00,94,Female,36,Beauty,1,300,120,300
1536,07:23:00,14,Female,55,Beauty,4,30,13.5,120
197,11:57:00,14,Female,42,Clothing,4,50,25.5,200
750,07:33:00,69,Female,35,Clothing,3,25,8.75,75
910,06:29:00,138,Female,20,Beauty,3,50,22.5,150
917,11:50:00,120,Female,57,Electronics,4,50,16.5,200
1197,10:07:00,77,Female,42,Clothing,4,50,19,200
1750,10:10:00,138,Female,35,Clothing,3,25,7.25,75
1910,06:22:00,141,Female,20,Beauty,3,50,18,150
1917,07:17:00,52,Female,57,Electronics,4,50,24,200
198,11:42:00,30,Female,54,Beauty,3,300,114,900
444,07:06:00,51,Female,61,Clothing,3,30,15.9,90
547,07:36:00,3,Male,63,Clothing,4,500,250,2000
705,07:28:00,37,Male,60,Electronics,2,25,6.25,50
1198,10:43:00,147,Female,54,Beauty,3,300,159,900
1444,06:18:00,135,Female,61,Clothing,3,30,14.1,90
1547,06:39:00,142,Male,63,Clothing,4,500,235,2000
1705,08:32:00,94,Male,60,Electronics,2,25,8.75,50
423,06:06:00,41,Female,27,Clothing,1,25,11.75,25
1423,07:56:00,131,Female,27,Clothing,1,25,11,25
248,07:11:00,5,Male,26,Clothing,3,300,126,900
360,09:04:00,26,Male,42,Clothing,4,25,10.5,100
377,08:30:00,141,Female,46,Clothing,4,50,18,200
1248,08:20:00,68,Male,26,Clothing,3,300,111,900
1360,09:31:00,93,Male,42,Clothing,4,25,6.25,100
1377,07:52:00,71,Female,46,Clothing,4,50,14,200
397,08:06:00,59,Female,30,Beauty,1,25,10.5,25
623,10:00:00,39,Male,34,Clothing,3,50,26,150
1397,11:05:00,6,Female,30,Beauty,1,25,11.75,25
1623,06:14:00,76,Male,34,Clothing,3,50,22,150
717,08:15:00,8,Male,57,Clothing,1,500,190,500
1717,09:40:00,21,Male,57,Clothing,1,500,175,500
130,06:21:00,114,Female,57,Clothing,1,500,125,500
658,07:47:00,93,Male,59,Clothing,1,25,6.5,25
1130,09:03:00,28,Female,57,Clothing,1,500,180,500
1658,06:08:00,148,Male,59,Clothing,1,25,12.25,25
7,06:24:00,38,Male,46,Clothing,2,25,13.25,50
119,09:11:00,127,Female,60,Clothing,3,50,27.5,150
278,11:42:00,71,Female,37,Clothing,4,25,13.5,100
1007,10:09:00,15,Male,46,Clothing,2,25,11.5,50
1119,09:36:00,1,Female,60,Clothing,3,50,25.5,150
1278,06:19:00,28,Female,37,Clothing,4,25,6.75,100
117,11:38:00,8,Male,19,Electronics,2,500,230,1000
1117,07:48:00,144,Male,19,Electronics,2,500,210,1000
442,11:07:00,24,Female,60,Clothing,4,25,13.25,100
590,11:52:00,151,Male,36,Clothing,3,300,135,900
607,09:33:00,109,Male,54,Clothing,3,25,13.25,75
1442,11:02:00,96,Female,60,Clothing,4,25,11.25,100
1590,09:39:00,142,Male,36,Clothing,3,300,147,900
1607,10:18:00,53,Male,54,Clothing,3,25,7.75,75
436,11:54:00,21,Female,57,Clothing,4,30,13.5,120
942,09:22:00,35,Male,51,Clothing,3,500,160,1500
1436,11:29:00,1,Female,57,Clothing,4,30,9.9,120
1942,11:53:00,112,Male,51,Clothing,3,500,265,1500
659,06:08:00,75,Female,39,Electronics,1,30,8.1,30
941,09:58:00,39,Female,57,Clothing,2,25,6.5,50
1659,09:29:00,22,Female,39,Electronics,1,30,9,30
1941,06:14:00,48,Female,57,Clothing,2,25,12,50
136,08:59:00,25,Male,44,Electronics,2,300,141,600
175,10:02:00,23,Female,31,Electronics,4,25,12.5,100
663,06:32:00,133,Male,23,Clothing,4,300,87,1200
748,09:35:00,132,Male,25,Clothing,3,50,24,150
806,08:08:00,14,Female,35,Beauty,3,300,165,900
1136,08:41:00,93,Male,44,Electronics,2,300,81,600
1175,06:38:00,103,Female,31,Electronics,4,25,11.5,100
1663,07:04:00,33,Male,23,Clothing,4,300,81,1200
1748,10:24:00,119,Male,25,Clothing,3,50,15.5,150
1806,10:13:00,61,Female,35,Beauty,3,300,102,900
38,11:39:00,147,Male,38,Beauty,4,50,26,200
313,10:03:00,11,Female,55,Beauty,3,500,140,1500
402,08:45:00,63,Female,41,Clothing,2,300,135,600
459,07:12:00,122,Male,28,Clothing,4,300,75,1200
1038,09:09:00,11,Male,38,Beauty,4,50,20.5,200
1313,09:22:00,10,Female,55,Beauty,3,500,170,1500
1402,06:47:00,110,Female,41,Clothing,2,300,156,600
1459,06:46:00,13,Male,28,Clothing,4,300,144,1200
161,06:58:00,104,Male,64,Beauty,2,500,195,1000
328,06:56:00,9,Male,39,Beauty,2,50,27,100
383,08:53:00,64,Female,46,Beauty,3,30,7.8,90
973,08:44:00,51,Male,60,Clothing,1,50,13,50
978,09:58:00,16,Female,53,Clothing,3,50,19,150
1161,11:06:00,30,Male,64,Beauty,2,500,160,1000
1328,07:49:00,60,Male,39,Beauty,2,50,24.5,100
1383,09:13:00,68,Female,46,Beauty,3,30,14.1,90
1973,10:10:00,22,Male,60,Clothing,1,50,21.5,50
1978,11:59:00,41,Female,53,Clothing,3,50,15.5,150
33,07:40:00,33,Female,50,Electronics,2,50,21,100
138,10:56:00,127,Male,49,Clothing,4,50,26.5,200
471,10:21:00,136,Male,32,Clothing,3,50,13,150
636,06:15:00,60,Female,21,Beauty,3,500,230,1500
1033,06:52:00,32,Female,50,Electronics,2,50,19,100
1138,11:59:00,27,Male,49,Clothing,4,50,14.5,200
1471,10:34:00,30,Male,32,Clothing,3,50,13,150
1636,11:26:00,50,Female,21,Beauty,3,500,150,1500
177,08:40:00,30,Male,45,Beauty,2,50,26.5,100
426,08:11:00,137,Male,23,Electronics,3,50,12.5,150
1177,09:19:00,89,Male,45,Beauty,2,50,15,100
1426,11:32:00,114,Male,23,Electronics,3,50,25,150
76,07:33:00,70,Female,22,Electronics,2,50,14.5,100
91,06:31:00,152,Female,55,Electronics,1,500,235,500
461,10:33:00,21,Female,18,Beauty,2,500,265,1000
764,08:46:00,47,Female,40,Clothing,1,25,11.25,25
1076,11:09:00,99,Female,22,Electronics,2,50,15,100
1091,08:46:00,139,Female,55,Electronics,1,500,235,500
1461,08:43:00,63,Female,18,Beauty,2,500,180,1000
1764,11:04:00,13,Female,40,Clothing,1,25,11.75,25
202,06:24:00,61,Female,34,Clothing,4,300,120,1200
301,10:58:00,104,Male,30,Clothing,4,30,9.6,120
703,09:56:00,140,Male,34,Electronics,2,50,18.5,100
1202,06:56:00,89,Female,34,Clothing,4,300,144,1200
1301,09:58:00,70,Male,30,Clothing,4,30,10.5,120
1703,08:36:00,2,Male,34,Electronics,2,50,17,100
294,09:24:00,89,Female,23,Clothing,3,30,15.3,90
760,07:59:00,14,Male,27,Beauty,1,500,125,500
1294,11:24:00,8,Female,23,Clothing,3,30,10.5,90
1760,07:26:00,44,Male,27,Beauty,1,500,230,500
575,10:29:00,14,Male,60,Clothing,2,50,23,100
1575,11:54:00,26,Male,60,Clothing,2,50,22.5,100
88,08:31:00,122,Male,56,Clothing,1,500,185,500
1088,07:00:00,6,Male,56,Clothing,1,500,155,500
975,07:41:00,145,Female,56,Clothing,4,50,19.5,200
1975,10:48:00,63,Female,56,Clothing,4,50,25.5,200
553,06:17:00,106,Male,24,Clothing,4,300,81,1200
1553,08:46:00,42,Male,24,Clothing,4,300,99,1200
462,10:04:00,71,Male,63,Electronics,4,300,132,1200
614,06:28:00,61,Female,39,Beauty,4,300,120,1200
808,07:18:00,30,Male,33,Beauty,4,500,195,2000
